Time,End_time,Duration_s,Flow_Lmin,Litros_totales
1554964133,1554964138,5,2.7399999999999998,0.274
1555014276,1555014278,2,1.2799999999999998,0.064
1555050980,1555050986,6,1.9899999999999998,0.203
1555063424,1555063432,8,0.43999999999999995,0.034
1555085519,1555085528,9,4.962,0.827
1555088692,1555088702,10,2.01,0.344
1555139646,1555139677,31,2.922,1.561
1555175108,1555175629,521,2.2578571428571426,13.553
1555180500,1555180926,426,0.765,3.858
1555183148,1555183934,786,1.9189090909090907,2.358
1555186486,1555186488,2,1.0,0.05
1555259811,1555259818,7,4.885714285714285,0.666
1555306566,1555310171,3605,1.4535,9.652
1555363105,1555363375,270,1.577142857142857,6.875
1555394439,1555395085,646,2.8066666666666666,6.371
1555424449,1555424454,5,2.6999999999999997,0.27
1555429302,1555429327,25,0.54,0.356
1555439218,1555442841,3623,2.02875,4.046
1555479730,1555481320,1590,1.590566037735849,10.626
1555570241,1555571193,952,1.1099999999999999,0.185
1555679678,1555679708,30,0.9085714285714285,0.202
1555683661,1555683666,5,0.888,0.076
1555688418,1555690106,1688,3.169208633093525,8.312
1555718299,1555718303,4,1.884,0.157
1555746694,1555746731,37,2.1758823529411764,1.317
1555759685,1555759713,28,2.4063157894736844,0.825
1555762618,1555762622,4,0.948,0.079
1555876772,1555876777,5,2.79,0.279
1555911620,1555911628,8,2.0025,0.291
1555921144,1555921167,23,3.321428571428571,0.795
1555931056,1555931558,502,1.185,0.265
1555961644,1555961736,92,1.5247058823529411,0.606
1555966409,1555966494,85,1.703076923076923,0.546
1555968510,1555968515,5,1.64,0.164
1555975192,1555975195,3,2.565,0.171
1556002146,1556002795,649,1.8599999999999999,12.622
1556010092,1556010308,216,2.7423529411764704,13.179
1556024110,1556026894,2784,2.06123595505618,28.988
1556029407,1556029671,264,2.8533333333333335,12.525
1556032463,1556032467,4,0.6599999999999999,0.037
1556047335,1556049815,2480,3.0790163934426227,22.452
1556127663,1556127663,1,0.8999999999999999,0.015
1556184101,1556184118,17,1.7299999999999998,0.197
1556226895,1556226931,36,2.4975,1.11
1556257476,1556257864,388,2.4,15.238
1556266906,1556271882,4976,2.4232191780821917,30.25
1556281252,1556281346,94,5.236551724137931,8.077
1556320264,1556320276,12,1.2,0.098
1556331446,1556333435,1989,2.2009999999999996,3.697
1556353416,1556353754,338,3.4689795918367343,9.117
1556393688,1556393791,103,2.177142857142857,3.455
